"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MolecularSequence","","","",0,*,"","","","","Molecular Sequence","Next version of MolecularSequence resource","","","","","","","","","",,,,,"",,,,"DomainResource",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Entity. Role, or Act"
"MolecularSequence.identifier[x]","","","",0,*,"","","","http://hl7.org/fhir/uv/cg-model/StructureDefinition/GenomeSequenceDesignation {[]} {[]}
http://hl7.org/fhir/uv/cg-model/StructureDefinition/IdentifierSequenceDesignation {[]} {[]}","Identifier(s) for the sequence","Identifier(s) for the sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence.identifier[x]",0,*,"",""
"MolecularSequence.representations","","","",0,*,"","","","BackboneElement {[]} {[]}
","Represents the many different ways a molecular sequence could be represented","This element allows a single instance of Sequence to be represented in many different ways, including different file formats.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations",0,*,"",""
"MolecularSequence.representations.literal","","","",0,1,"","","","BackboneElement {[]} {[]}
","Literal sequence","A sequence represented as a literal string","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.literal",0,1,"",""
"MolecularSequence.representations.literal.encoding","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The coding system (alphabet) used by the sequence","The coding system (alphabet) used by the sequence.  While IUPAC symbols are frequently assumed, this attribute can denote whether an amino acid sequence is encoded as single letter or 3-letter abbreviations.  Ideally, a value set defining common coding systewould be developed.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.literal.encoding",0,1,"",""
"MolecularSequence.representations.literal.value","","","",1,1,"","","","string {[]} {[]}
","The literal sequence expressed as a string","The literal sequence expressed as a string","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.literal.value",1,1,"",""
"MolecularSequence.representations.formatted","","","",0,1,"","","","BackboneElement {[]} {[]}
","A formatted sequence","A sequence expressed in a pre-defined format.  The attached sequence can be processed using existing software tools designed for the given format.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.formatted",0,1,"",""
"MolecularSequence.representations.formatted.file","","","",1,1,"","","","Attachment {[]} {[]}
","Attached file","A file containing the formatted sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.formatted.file",1,1,"",""
"MolecularSequence.representations.resolveable","","","",0,1,"","","","BackboneElement {[]} {[]}
","A sequenced retrieved from a URI","Reference to a sequence that is not explicitly provided within this instance of Sequence, but which can be retrieved by resolving the URI","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.resolveable",0,1,"",""
"MolecularSequence.representations.resolveable.uri","","","",1,1,"","","","uri {[]} {[]}
","A URI that, when resolved, will return the sequence","A resolvable, absolute address that, when accessed, will return the Sequence","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.resolveable.uri",1,1,"",""
"MolecularSequence.representations.resolveable.format","","","",0,1,"","","","code {[]} {[]}
","The format of the resolved sequence","The format of the resolved sequence.  The codes for this element should be the same as those for a Formatted Sequence.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.resolveable.format",0,1,"",""
"MolecularSequence.representations.relative","","","",0,1,"","","","BackboneElement {[]} {[]}
","A Sequence defined relative to another Sequence(s)","The definition of a new sequence that is represented by applying an ordered series of edits to one or more other Sequences.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.relative",0,1,"",""
"MolecularSequence.representations.relative.startingSequence[x]","","","",1,1,"","","","string {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/uv/cg-model/StructureDefinition/MolecularSequence]]}","The starting Sequence","A reference to the Sequence used as the starting ""base"" of the Sequence that is to be derived.","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.relative.startingSequence[x]",1,1,"",""
"MolecularSequence.representations.relative.edits","","","",1,*,"","","","BackboneElement {[]} {[]}
","The edits to apply to the starting sequence","An ordered series of edits to apply to the starting sequence","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.relative.edits",1,*,"",""
"MolecularSequence.representations.relative.edits.interval","","","",1,1,"","","","http://hl7.org/fhir/uv/cg-model/StructureDefinition/MolecularPreciseInterval {[]} {[]}
","The interval on the current Sequence that defines the region to be replaced","The coordinate interval that defines the region of Sequence to be replaced during the current edit operation","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.relative.edits.interval",1,1,"",""
"MolecularSequence.representations.relative.edits.referenceSequence[x]","","","",0,1,"","","","string {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/uv/cg-model/StructureDefinition/MolecularSequence]]}","Contents of the sequence that will be edited","The content of the sub-Sequence that will be replaced in the current edit operation","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.relative.edits.referenceSequence[x]",0,1,"",""
"MolecularSequence.representations.relative.edits.replacementSequence[x]","","","",1,1,"","","","string {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/uv/cg-model/StructureDefinition/MolecularSequence]]}","The content used in the replacement","The replacement Sequence used in the current edit operation","","","","","","","","","",,,,,"",,,,"MolecularSequence.representations.relative.edits.replacementSequence[x]",1,1,"",""
"MolecularSequence.relationship","","","",0,*,"","","","BackboneElement {[]} {[]}
","Relationship between two Sequences","This element captures information about the relationship between two Sequences.  Ideally, the relationship will be codified using concepts from an ontology.","","","","","","","","","",,,,,"",,,,"MolecularSequence.relationship",0,*,"",""
"MolecularSequence.relationship.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Relationship type","The relationship between two sequences.  For example: transcribed to, transcribed from, translated to, translated from.  Ideally, the concepts used to express the relationship should be defined in an ontology.","","","","","","","","","",,,,,"",,,,"MolecularSequence.relationship.type",1,1,"",""
"MolecularSequence.relationship.description","","","",0,1,"","","","string {[]} {[]}
","Relationship description","A description of the relationship between two sequences.","","","","","","","","","",,,,,"",,,,"MolecularSequence.relationship.description",0,1,"",""
"MolecularSequence.relationship.sequence","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/uv/cg-model/StructureDefinition/MolecularSequence]]}
","The target of the sequence relationship","A reference to a Sequence that represents the object of a defined relationship.","","","","","","","","","",,,,,"",,,,"MolecularSequence.relationship.sequence",1,1,"",""
